percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
0.99873,0.97288,0.96332,0.97117,0.96576
0.99908,0.97321,0.96296,0.97126,0.96633
0.99882,0.97236,0.96266,0.97086,0.96668
0.9979,0.97132,0.96279,0.97083,0.96713
0.99821,0.97127,0.96293,0.97105,0.96834
0.9974,0.97067,0.96319,0.97082,0.96831
0.99745,0.97073,0.96315,0.97071,0.96867
0.99712,0.97109,0.96293,0.7096,0.96841
0.99676,0.9707,0.96275,0.97141,0.96832
0.99636,0.97067,0.9625,0.97165,0.96837
0.99641,0.97032,0.96147,0.97197,0.96886
0.99624,0.96993,0.96235,0.97213,0.96911
0.99656,0.96991,0.96251,0.97175,0.96926
0.99634,0.97017,0.96301,0.97207,0.96919
0.99603,0.96999,0.96288,0.97227,0.96917
0.9948,0.97031,0.96285,0.9725,0.96937
0.99455,0.9702,0.96331,0.97282,0.96932
0.99471,0.97023,0.96332,0.97279,0.96955
0.99496,0.97018,0.96283,0.97282,0.96966
0.9956,0.96992,0.96282,0.97279,0.96958
0.99588,0.96915,0.96304,0.97219,0.96986
0.99556,0.96885,0.96295,0.97179,0.97014
0.99456,0.96928,0.96294,0.97163,0.97005
0.99377,0.96897,0.96252,0.97106,0.97021
0.99311,0.96957,0.96249,0.97111,0.97002
0.99298,0.96986,0.96238,0.97143,0.96967
0.99397,0.96981,0.96248,0.9714,0.9693
0.99374,0.9695,0.96275,0.97115,0.96964
0.99316,0.96934,0.96287,0.97084,0.96938
0.99208,0.96931,0.96287,0.97076,0.96923
0.99097,0.96935,0.96304,0.97058,0.96855
0.98993,0.96948,0.96301,0.97049,0.96661
0.98997,0.96971,0.96288,0.9705,0.96664
0.99047,0.96967,0.96278,0.97055,0.96687
0.98932,0.9695,0.96254,0.97079,0.96681
0.98854,0.96707,0.9624,0.97087,0.96681
0.98835,0.96736,0.96287,0.9711,0.96716
0.98822,0.96851,0.96314,0.97137,0.96711
0.9882,0.9681,0.96336,0.97133,0.96692
0.98584,0.96812,0.96355,0.97131,0.9666
0.98516,0.96781,0.96351,0.97154,0.96625
0.98441,0.96821,0.96369,0.9716,0.96636
0.98403,0.96695,0.96308,0.9719,0.96595
0.98423,0.96727,0.96267,0.97219,0.96591
0.98393,0.96764,0.96398,0.97259,0.96596
0.98393,0.96743,0.96427,0.97257,0.96625
0.98367,0.9635,0.96454,0.97272,0.96617
0.98292,0.96192,0.96485,0.97262,0.9664
0.98284,0.96203,0.96514,0.97273,0.96663
0.9827,0.96186,0.96561,0.97304,0.9665
0.98166,0.96193,0.96585,0.97313,0.96626
0.98,0.96178,0.96547,0.97307,0.96635
0.97928,0.96161,0.96505,0.97339,0.96641
0.97889,0.96113,0.96486,0.97392,0.96627
0.97868,0.96133,0.96486,0.97418,0.96636
0.97828,0.96146,0.96516,0.97473,0.96618
0.97782,0.96175,0.96576,0.97552,0.96615
0.97774,0.96166,0.96601,0.97551,0.96594
0.97754,0.96132,0.9663,0.97576,0.96821
0.97763,0.96093,0.96655,0.97418,0.96905
