percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.05,1.05,1.06,1.01,1.04
1.1,1.13,1.18,1.12,1.13
1.16,1.2,1.24,1.21,1.22
1.17,1.25,1.3,1.28,1.27
1.19,1.28,1.35,1.31,1.31
1.2,1.31,1.39,1.34,1.34
1.18,1.33,1.42,1.37,1.35
1.19,1.34,1.42,1.39,1.37
1.19,1.35,1.45,1.4,1.38
1.19,1.36,1.46,1.41,1.38
1.2,1.36,1.46,1.4,1.39
1.21,1.36,1.46,1.4,1.39
1.22,1.36,1.46,1.41,1.4
1.23,1.36,1.46,1.42,1.4
1.24,1.36,1.46,1.42,1.4
1.25,1.36,1.47,1.41,1.4
1.25,1.37,1.47,1.41,1.4
1.24,1.37,1.48,1.42,1.4
1.24,1.38,1.48,1.41,1.41
1.25,1.38,1.48,1.42,1.4
1.26,1.38,1.48,1.42,1.41
1.27,1.39,1.48,1.43,1.41
1.28,1.39,1.49,1.44,1.42
1.3,1.39,1.5,1.44,1.43
1.33,1.39,1.5,1.44,1.44
1.34,1.39,1.5,1.44,1.45
1.35,1.39,1.51,1.45,1.46
1.35,1.4,1.52,1.45,1.47
1.36,1.4,1.53,1.45,1.48
1.36,1.4,1.53,1.45,1.49
1.36,1.41,1.54,1.46,1.49
1.36,1.41,1.55,1.47,1.5
1.36,1.42,1.55,1.47,1.51
1.35,1.41,1.56,1.47,1.51
1.36,1.42,1.56,1.48,1.52
1.36,1.42,1.57,1.48,1.52
1.37,1.42,1.56,1.48,1.52
1.37,1.41,1.57,1.48,1.52
1.37,1.41,1.57,1.48,1.52
1.36,1.42,1.57,1.48,1.53
1.37,1.43,1.57,1.48,1.52
1.37,1.43,1.57,1.48,1.52
1.38,1.43,1.57,1.48,1.53
1.38,1.44,1.58,1.48,1.53
1.39,1.44,1.59,1.48,1.53
1.4,1.45,1.58,1.48,1.53
1.41,1.45,1.59,1.48,1.54
1.42,1.46,1.59,1.49,1.55
1.43,1.46,1.59,1.49,1.55
1.44,1.47,1.59,1.49,1.55
1.45,1.47,1.6,1.5,1.56
1.46,1.48,1.6,1.49,1.56
1.46,1.48,1.61,1.5,1.57
1.47,1.48,1.61,1.5,1.57
1.48,1.48,1.61,1.5,1.58
1.48,1.48,1.61,1.5,1.58
1.49,1.49,1.62,1.5,1.6
1.5,1.5,1.62,1.5,1.6
1.51,1.49,1.63,1.51,1.6
1.52,1.5,1.63,1.51,1.61
