percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.03282, 1.05909, 1.02811, 1.05364, 1.05102
1.06859, 1.0588, 1.07254, 1.05963, 1.05441
1.10668, 1.05788, 1.11855, 1.06548, 1.05823
1.1283, 1.05876, 1.14075, 1.07159, 1.06239
1.13628, 1.06032, 1.15671, 1.07771, 1.06705
1.14118, 1.0614, 1.17282, 1.08406, 1.07186
1.14584, 1.06903, 1.19076, 1.09063, 1.07701
1.15008, 1.07132, 1.20771, 1.0973, 1.08245
1.15404, 1.074, 1.22404, 1.1039, 1.08812
1.15732, 1.07598, 1.24082, 1.11131, 1.0939
1.16312, 1.07872, 1.25511, 1.1177, 1.09979
1.16738, 1.08206, 1.26843, 1.12468, 1.10585
1.17116, 1.0864, 1.28102, 1.1317, 1.11216
1.17281, 1.09062, 1.294, 1.13878, 1.11873
1.17537, 1.09522, 1.30565, 1.14625, 1.12519
1.17834, 1.10036, 1.31699, 1.1534, 1.13171
1.18223, 1.10562, 1.32695, 1.16041, 1.13826
1.18675, 1.11114, 1.33801, 1.16719, 1.14478
1.19172, 1.11641, 1.35268, 1.17343, 1.15149
1.1958, 1.12202, 1.36749, 1.18017, 1.15825
1.19974, 1.12748, 1.37782, 1.18719, 1.16507
1.2047, 1.13289, 1.38722, 1.19455, 1.17172
1.2074, 1.13876, 1.39569, 1.20134, 1.17855
1.21348, 1.1447, 1.40394, 1.20805, 1.18556
1.2184, 1.15083, 1.41375, 1.21511, 1.19248
1.22342, 1.15722, 1.42631, 1.22273, 1.20011
1.22836, 1.163, 1.43899, 1.23045, 1.20824
1.23216, 1.16894, 1.4487, 1.23953, 1.21501
1.23771, 1.17474, 1.45905, 1.24664, 1.22145
1.24415, 1.18071, 1.47021, 1.25332, 1.22806
1.25019, 1.18678, 1.48038, 1.25977, 1.23469
1.25602, 1.19347, 1.49327, 1.26628, 1.24158
1.26131, 1.20002, 1.50522, 1.27237, 1.24908
1.26565, 1.20644, 1.51441, 1.27884, 1.25562
1.26925, 1.21264, 1.52446, 1.28501, 1.26217
1.27403, 1.21909, 1.53386, 1.2921, 1.26867
1.28036, 1.22602, 1.54053, 1.29839, 1.27513
1.28482, 1.23308, 1.54858, 1.30466, 1.28034
1.2889, 1.23918, 1.55637, 1.31098, 1.28596
1.29175, 1.24487, 1.56367, 1.31698, 1.29208
1.29647, 1.25061, 1.56872, 1.32264, 1.29848
1.30093, 1.25625, 1.57336, 1.32814, 1.30461
1.30537, 1.26206, 1.57805, 1.33364, 1.31052
1.31049, 1.26775, 1.5833, 1.33913, 1.31639
1.31588, 1.27356, 1.59048, 1.3444, 1.3222
1.32039, 1.27924, 1.59769, 1.34966, 1.32812
1.32346, 1.2849, 1.60402, 1.35475, 1.334
1.3261, 1.29057, 1.60931, 1.35986, 1.33983
1.32895, 1.29723, 1.61422, 1.36494, 1.34539
1.33313, 1.30232, 1.61761, 1.37, 1.35094
1.33758, 1.3072, 1.62287, 1.37515, 1.35657
1.33768, 1.31272, 1.62871, 1.37891, 1.36215
1.34226, 1.3184, 1.63824, 1.38378, 1.36722
1.34756, 1.32363, 1.64605, 1.3886, 1.37225
1.3522, 1.32895, 1.65147, 1.39321, 1.37722
1.35605, 1.33482, 1.65807, 1.39738, 1.38211
1.35931, 1.34066, 1.66265, 1.40181, 1.38695
1.36233, 1.34616, 1.6657, 1.40647, 1.39179
1.3659, 1.35076, 1.67011, 1.41096, 1.39695
1.36817, 1.35533, 1.67732, 1.41549, 1.4019
