percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
0.9725, 0.874, 0.85741, 0.86236, 0.84709
0.97216, 0.87401, 0.85739, 0.86224, 0.84689
0.97197, 0.874, 0.85734, 0.86215, 0.84665
0.97161, 0.87395, 0.8574, 0.86201, 0.8464
0.97119, 0.87392, 0.85736, 0.86182, 0.84619
0.71, 0.87384, 0.85736, 0.8617, 0.84606
0.97017, 0.87381, 0.85731, 0.86151, 0.84583
0.96957, 0.87373, 0.85724, 0.86132, 0.8457
0.96901, 0.87366, 0.85727, 0.86109, 0.84552
0.96839, 0.87359, 0.8574, 0.86093, 0.84526
0.96768, 0.87348, 0.85753, 0.86085, 0.84508
0.96733, 0.87345, 0.85773, 0.86072, 0.84489
0.96672, 0.87332, 0.85797, 0.8605, 0.84467
0.96605, 0.87322, 0.85818, 0.86034, 0.8445
0.96542, 0.87311, 0.85849, 0.86016, 0.8443
0.96473, 0.87304, 0.85883, 0.85997, 0.84407
0.96409, 0.87291, 0.8592, 0.8598, 0.84383
0.96343, 0.87282, 0.85968, 0.85968, 0.84368
0.96278, 0.87272, 0.86018, 0.85947, 0.84353
0.9621, 0.87261, 0.86065, 0.85928, 0.84331
0.96143, 0.87251, 0.86115, 0.85911, 0.84307
0.9608, 0.87237, 0.86167, 0.8589, 0.84288
0.96028, 0.87222, 0.86206, 0.85872, 0.84269
0.95988, 0.87212, 0.86244, 0.85857, 0.84254
0.95963, 0.87199, 0.86273, 0.85835, 0.84235
0.95954, 0.87189, 0.86315, 0.85817, 0.84213
0.95945, 0.8718, 0.86351, 0.85795, 0.84197
0.95932, 0.87164, 0.86388, 0.85782, 0.8418
0.927, 0.87146, 0.86421, 0.85761, 0.84164
0.95927, 0.87131, 0.86455, 0.85742, 0.84144
0.95935, 0.87119, 0.86481, 0.85731, 0.84136
0.95948, 0.87103, 0.86508, 0.85709, 0.84118
0.95964, 0.87086, 0.86535, 0.85687, 0.84095
0.95973, 0.87073, 0.86562, 0.85668, 0.84075
0.95984, 0.87059, 0.86577, 0.85646, 0.84058
0.95988, 0.8704, 0.86597, 0.85634, 0.84054
0.95986, 0.87027, 0.86614, 0.85621, 0.84039
0.95978, 0.87008, 0.86632, 0.85607, 0.84021
0.9597, 0.8699, 0.8665, 0.85587, 0.8401
0.95963, 0.86973, 0.86658, 0.85567, 0.84007
0.95947, 0.86958, 0.86666, 0.8554, 0.83995
0.95935, 0.86938, 0.86678, 0.8552, 0.83988
0.95917, 0.86914, 0.86701, 0.85492, 0.83982
0.95894, 0.86898, 0.86707, 0.85469, 0.83968
0.95866, 0.86882, 0.86707, 0.85453, 0.83955
0.95841, 0.86866, 0.86711, 0.85431, 0.83939
0.9582, 0.86851, 0.86711, 0.85413, 0.83926
0.95793, 0.86836, 0.86719, 0.85399, 0.83921
0.95758, 0.86822, 0.86725, 0.8538, 0.83905
0.95726, 0.86805, 0.86717, 0.85366, 0.83893
0.95697, 0.86786, 0.86712, 0.85356, 0.83885
0.95657, 0.86765, 0.86716, 0.8534, 0.8387
0.95631, 0.86745, 0.8672, 0.85324, 0.83846
0.95607, 0.86724, 0.86709, 0.85315, 0.83839
0.95564, 0.86704, 0.86702, 0.85316, 0.83829
0.95517, 0.86689, 0.86699, 0.8532, 0.83817
0.95471, 0.86671, 0.86688, 0.85326, 0.83802
0.95429, 0.86654, 0.86678, 0.85343, 0.8378
0.95389, 0.86639, 0.86666, 0.85368, 0.83762
0.95348, 0.86618, 0.8666, 0.85393, 0.83748
