percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.05,1.05,1.09,1.05,1.05
1.07,1.06,1.09,1.07,1.08
1.09,1.09,1.09,1.09,1.1
1.11,1.12,1.09,1.12,1.11
1.13,1.17,1.09,1.16,1.11
1.15,1.2,1.09,1.2,1.12
1.17,1.22,1.09,1.24,1.14
1.18,1.25,1.09,1.27,1.16
1.19,1.28,1.08,1.3,1.18
1.21,1.31,1.09,1.3,1.21
1.24,1.34,1.09,1.32,1.24
1.25,1.36,1.08,1.34,1.28
1.28,1.39,1.08,1.35,1.3
1.3,1.41,1.09,1.37,1.31
1.32,1.43,1.09,1.38,1.34
1.33,1.46,1.08,1.4,1.38
1.34,1.48,1.08,1.41,1.4
1.36,1.5,1.09,1.42,1.41
1.37,1.52,1.08,1.43,1.42
1.38,1.55,1.08,1.44,1.43
1.39,1.57,1.08,1.44,1.43
1.41,1.59,1.08,1.46,1.43
1.41,1.59,1.09,1.46,1.43
1.43,1.6,1.09,1.47,1.43
1.44,1.6,1.1,1.48,1.45
1.44,1.61,1.09,1.49,1.48
1.46,1.62,1.1,1.5,1.52
1.47,1.63,1.1,1.52,1.55
1.48,1.64,1.11,1.53,1.58
1.5,1.65,1.1,1.54,1.61
1.52,1.67,1.11,1.56,1.63
1.53,1.68,1.11,1.57,1.64
1.54,1.7,1.11,1.58,1.65
1.54,1.71,1.14,1.6,1.67
1.56,1.72,1.17,1.61,1.68
1.56,1.74,1.2,1.63,1.69
1.57,1.74,1.22,1.64,1.7
1.59,1.76,1.24,1.65,1.71
1.6,1.77,1.25,1.66,1.71
1.61,1.78,1.26,1.68,1.72
1.61,1.79,1.29,1.69,1.72
1.62,1.8,1.33,1.7,1.72
1.63,1.81,1.38,1.7,1.72
1.64,1.82,1.43,1.72,1.73
1.64,1.83,1.47,1.73,1.73
1.65,1.84,1.5,1.73,1.74
1.48,1.85,1.51,1.74,1.74
1.5,1.86,1.53,1.75,1.74
1.51,1.87,1.53,1.76,1.74
1.53,1.88,1.55,1.77,1.75
1.55,1.88,1.55,1.78,1.75
1.58,1.89,1.56,1.8,1.76
1.6,1.9,1.57,1.8,1.77
1.62,1.9,1.58,1.82,1.77
1.63,1.92,1.6,1.83,1.78
1.64,1.93,1.61,1.84,1.79
1.65,1.94,1.62,1.85,1.8
1.66,1.95,1.64,1.86,1.81
1.67,1.95,1.65,1.88,1.81
1.68,1.96,1.67,1.9,1.82
