percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.00926, 1.05026, 1.05219, 1.04576, 1.0526
1.0004, 1.05292, 1.05236, 1.04314, 1.05643
1.005, 1.05612, 1.0519, 1.04148, 1.0615
1.016, 1.05897, 1.05534, 1.0418, 1.06651
1.01389, 1.06263, 1.06103, 1.04277, 1.0725
1.01197, 1.06785, 1.06838, 1.04336, 1.07806
1.01674, 1.06952, 1.0763, 1.04585, 1.08217
1.02168, 1.0759, 1.08073, 1.05081, 1.08698
1.02722, 1.07948, 1.08613, 1.05431, 1.09311
1.03364, 1.08329, 1.09188, 1.05741, 1.09913
1.04011, 1.0879, 1.09826, 1.06056, 1.10421
1.0461, 1.09404, 1.11015, 1.06463, 1.10863
1.05335, 1.09973, 1.11564, 1.06653, 1.11409
1.06091, 1.10468, 1.12212, 1.06616, 1.11923
1.06786, 1.11094, 1.12665, 1.07094, 1.12379
1.07441, 1.11557, 1.13431, 1.07608, 1.12863
1.08063, 1.12157, 1.138, 1.08102, 1.13351
1.08734, 1.12658, 1.14464, 1.08678, 1.13694
1.09413, 1.1325, 1.15381, 1.0924, 1.1424
1.10108, 1.13871, 1.15819, 1.09957, 1.14769
1.11135, 1.14463, 1.15975, 1.1076, 1.1533
1.1177, 1.1504, 1.1692, 1.11305, 1.15836
1.12283, 1.15435, 1.17626, 1.12042, 1.16463
1.12728, 1.15813, 1.18397, 1.12726, 1.16841
1.13231, 1.16234, 1.18611, 1.13195, 1.1722
1.13774, 1.16893, 1.18991, 1.13614, 1.17681
1.14332, 1.17391, 1.19686, 1.1417, 1.18111
1.15542, 1.17963, 1.20425, 1.14645, 1.18556
1.15146, 1.18471, 1.20934, 1.15187, 1.19015
1.18845, 1.19135, 1.21279, 1.15749, 1.1937
1.2091, 1.19604, 1.21668, 1.16228, 1.19838
1.2248, 1.20084, 1.22165, 1.16824, 1.20155
1.25221, 1.20585, 1.22639, 1.17325, 1.20568
1.24709, 1.21, 1.23337, 1.17857, 1.20855
1.25368, 1.2155, 1.24541, 1.18405, 1.21257
1.27452, 1.22136, 1.25152, 1.1896, 1.21641
1.23453, 1.22588, 1.25696, 1.19505, 1.22026
1.2389, 1.23182, 1.26126, 1.20042, 1.22606
1.21263, 1.23767, 1.26751, 1.20559, 1.23034
1.20819, 1.24218, 1.27243, 1.21127, 1.23391
1.20972, 1.24756, 1.27907, 1.21665, 1.2368
1.21793, 1.25293, 1.2841, 1.22217, 1.24047
1.21927, 1.25692, 1.28924, 1.22777, 1.24341
1.22507, 1.26101, 1.29447, 1.23256, 1.24715
1.22682, 1.26609, 1.29855, 1.23735, 1.25106
1.22869, 1.27178, 1.30461, 1.24183, 1.25337
1.23331, 1.27735, 1.30856, 1.24712, 1.25798
1.2386, 1.28262, 1.30945, 1.25228, 1.26107
1.24287, 1.28779, 1.3141, 1.25726, 1.26446
1.24712, 1.29311, 1.32282, 1.26177, 1.26838
1.25186, 1.29695, 1.33374, 1.26647, 1.27033
1.25681, 1.30113, 1.34277, 1.27177, 1.27387
1.26407, 1.30631, 1.34438, 1.27666, 1.27681
1.26892, 1.31041, 1.34865, 1.28211, 1.2794
1.27386, 1.31535, 1.35328, 1.28785, 1.28183
1.28092, 1.32045, 1.35891, 1.29348, 1.28427
1.28811, 1.32582, 1.36452, 1.29872, 1.28743
1.29161, 1.32973, 1.37168, 1.30384, 1.29081
1.29664, 1.33443, 1.37748, 1.3085, 1.2934
1.30155, 1.3399, 1.37937, 1.31322, 1.29683
