percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.13,1.08,1.14,1.08,1.09
1.16,1.16,1.24,1.26,1.16
1.28,1.22,1.33,1.36,1.21
1.26,1.26,1.37,1.31,1.25
1.27,1.28,1.38,1.35,1.28
1.31,1.31,1.39,1.49,1.3
1.35,1.32,1.4,1.54,1.31
1.38,1.32,1.41,1.56,1.32
1.4,1.35,1.39,1.57,1.33
1.43,1.36,1.43,1.58,1.33
1.46,1.37,1.47,1.58,1.34
1.5,1.37,1.5,1.59,1.35
1.53,1.37,1.53,1.6,1.35
1.55,1.37,1.56,1.61,1.36
1.57,1.36,1.56,1.62,1.36
1.6,1.36,1.57,1.63,1.37
1.63,1.36,1.58,1.63,1.38
1.66,1.36,1.6,1.63,1.38
1.7,1.37,1.61,1.64,1.39
1.72,1.37,1.61,1.64,1.39
1.75,1.38,1.62,1.65,1.39
1.76,1.39,1.62,1.66,1.4
1.78,1.41,1.62,1.67,1.4
1.8,1.42,1.62,1.69,1.41
1.81,1.43,1.62,1.7,1.42
1.83,1.45,1.62,1.71,1.42
1.85,1.47,1.63,1.73,1.44
1.86,1.49,1.64,1.74,1.45
1.88,1.5,1.65,1.75,1.46
1.9,1.52,1.66,1.77,1.48
1.92,1.54,1.67,1.78,1.49
1.93,1.56,1.67,1.8,1.51
1.96,1.57,1.68,1.82,1.52
1.97,1.59,1.69,1.84,1.55
1.98,1.6,1.7,1.85,1.57
1.99,1.61,1.71,1.86,1.58
2,1.63,1.72,1.88,1.59
2.01,1.64,1.73,1.88,1.59
2.02,1.65,1.75,1.88,1.6
2.03,1.67,1.76,1.88,1.62
2.04,1.68,1.77,1.89,1.63
2.05,1.69,1.78,1.9,1.64
2.06,1.7,1.79,1.91,1.66
2.07,1.71,1.8,1.92,1.67
2.08,1.72,1.81,1.93,1.68
2.09,1.73,1.82,1.94,1.7
2.1,1.74,1.83,1.96,1.71
2.1,1.75,1.84,1.97,1.73
2.11,1.76,1.85,1.98,1.74
2.12,1.77,1.87,2,1.76
2.13,1.77,1.88,2.01,1.77
2.14,1.78,1.89,2.02,1.78
2.15,1.79,1.91,2.03,1.79
2.16,1.8,1.92,2.04,1.8
2.17,1.81,1.93,2.05,1.81
2.18,1.82,1.94,2.06,1.82
2.18,1.83,1.94,2.07,1.83
2.19,1.84,1.95,2.08,1.85
2.2,1.85,1.96,2.09,1.86
2.21,1.86,1.97,2.1,1.87
