percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.12,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.1,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.13,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
1.14,1.09,1.09,1.09,1.08
