percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.05233,1.02044,1.04797,1.05453,1.077
1.06013,1.08119,1.07596,1.09232,1.07688
1.06625,1.09826,1.07102,1.1505,1.07684
1.07724,1.09929,1.06697,1.162,1.07737
1.0838,1.0957,1.07738,1.16749,1.0793
1.08976,1.1085,1.08282,1.17096,1.1059
1.09573,1.12059,1.08628,1.18115,1.14008
1.10315,1.1212,1.08866,1.18608,1.14747
1.11281,1.12606,1.09404,1.19847,1.14301
1.12039,1.13483,1.09958,1.20572,1.14341
1.12653,1.14184,1.10394,1.21514,1.12631
1.1343,1.14826,1.10727,1.22368,1.11505
1.14113,1.1637,1.11348,1.226,1.11285
1.14852,1.16514,1.1207,1.17368,1.11814
1.15703,1.1733,1.12915,1.17703,1.12238
1.16181,1.18676,1.13471,1.1779,1.12829
1.16857,1.18987,1.14159,1.18489,1.13117
1.1774,1.19319,1.14657,1.19704,1.11896
1.18355,1.19455,1.15231,1.20731,1.11042
1.19105,1.20315,1.15965,1.20839,1.11917
1.19944,1.20949,1.16808,1.22089,1.12568
1.20421,1.21215,1.17603,1.22983,1.13348
1.20956,1.22289,1.18477,1.24407,1.13872
1.21571,1.23205,1.19108,1.24589,1.14442
1.2223,1.24078,1.19829,1.26161,1.14982
1.22938,1.24676,1.20655,1.26804,1.15538
1.23561,1.24955,1.21487,1.27468,1.16094
1.24331,1.25278,1.22287,1.28337,1.16688
1.25037,1.26012,1.23194,1.28913,1.17277
1.25594,1.26764,1.24,1.29552,1.17896
1.26204,1.2753,1.24764,1.30174,1.18515
1.26655,1.2897,1.25627,1.30769,1.19121
1.27566,1.2966,1.26453,1.31736,1.1975
1.28037,1.3015,1.27208,1.32458,1.20389
1.28697,1.30585,1.28011,1.33097,1.21016
1.29225,1.31018,1.28905,1.33762,1.22002
1.29846,1.31925,1.29658,1.34299,1.22486
1.30434,1.32737,1.30447,1.35017,1.22859
1.31082,1.33334,1.31264,1.35792,1.23533
1.31697,1.33917,1.32091,1.36207,1.24064
1.3218,1.34513,1.3294,1.36901,1.24601
1.32601,1.34871,1.3368,1.37519,1.2522
1.33165,1.35149,1.34408,1.38174,1.25871
1.33675,1.35598,1.35207,1.38736,1.26533
1.34249,1.36315,1.358,1.39351,1.27248
1.34662,1.36615,1.36425,1.39894,1.27766
1.3547,1.37452,1.36915,1.40466,1.28305
1.35879,1.37555,1.37546,1.41179,1.28818
1.36357,1.37697,1.38405,1.41697,1.29436
1.37144,1.38645,1.3921,1.42166,1.2997
1.37493,1.39276,1.39725,1.43302,1.30526
1.3788,1.3961,1.40672,1.43937,1.31094
1.38779,1.40128,1.41573,1.44569,1.31663
1.39256,1.40701,1.4239,1.44843,1.32217
1.39517,1.43727,1.43014,1.45402,1.32695
1.39942,1.43897,1.43703,1.45898,1.33182
1.40594,1.441,1.44335,1.46481,1.33699
1.4098,1.45056,1.44876,1.46897,1.34299
1.41501,1.45615,1.45554,1.47464,1.34827
1.41741,1.4645,1.46184,1.47925,1.3532
