percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.02,1.03,1.11,1.08,1.09
1.02,1.04,1.11,1.09,1.09
1.02,1.04,1.11,1.09,1.09
1.02,1.06,1.11,1.08,1.09
1.01,1.06,1.1,1.09,1.09
1.01,1.06,1.1,1.08,1.09
1.02,1.06,1.1,1.08,1.09
1.02,1.06,1.1,1.09,1.09
1.02,1.06,1.1,1.08,1.09
1.02,1.06,1.1,1.08,1.09
1.02,1.06,1.09,1.08,1.09
1.02,1.06,1.09,1.08,1.09
1.02,1.06,1.09,1.08,1.09
1.02,1.07,1.1,1.08,1.09
1.03,1.06,1.1,1.09,1.09
1.02,1.06,1.09,1.09,1.09
1.02,1.07,1.1,1.08,1.09
1.03,1.07,1.1,1.08,1.09
1.02,1.06,1.11,1.09,1.09
1.02,1.06,1.1,1.1,1.09
1.02,1.07,1.1,1.1,1.09
1.02,1.07,1.1,1.1,1.09
1.02,1.07,1.1,1.1,1.09
1.02,1.07,1.1,1.11,1.09
1.02,1.07,1.1,1.11,1.09
1.02,1.07,1.1,1.1,1.09
1.02,1.07,1.1,1.1,1.09
1.02,1.07,1.1,1.1,1.09
1.02,1.07,1.1,1.11,1.09
1.02,1.07,1.1,1.1,1.09
1.02,1.07,1.1,1.09,1.09
1.02,1.07,1.1,1.09,1.09
1.02,1.07,1.1,1.09,1.09
1.02,1.07,1.1,1.1,1.09
1.02,1.07,1.1,1.1,1.09
1.02,1.07,1.1,1.09,1.09
1.02,1.07,1.1,1.09,1.09
1.02,1.07,1.1,1.09,1.09
1.03,1.07,1.1,1.09,1.09
1.03,1.07,1.1,1.1,1.09
1.03,1.07,1.1,1.09,1.09
1.03,1.07,1.1,1.1,1.09
1.03,1.07,1.1,1.1,1.09
1.03,1.07,1.1,1.09,1.09
1.03,1.07,1.1,1.09,1.09
1.03,1.08,1.1,1.1,1.09
1.03,1.07,1.09,1.1,1.09
1.02,1.08,1.1,1.1,1.09
1.03,1.08,1.1,1.1,1.09
1.03,1.08,1.1,1.1,1.09
1.03,1.07,1.1,1.1,1.09
1.03,1.07,1.1,1.1,1.09
1.03,1.08,1.1,1.1,1.09
1.03,1.08,1.1,1.1,1.09
1.04,1.08,1.1,1.1,1.09
1.03,1.08,1.11,1.1,1.09
1.04,1.08,1.11,1.1,1.09
1.04,1.08,1.1,1.1,1.09
1.04,1.08,1.11,1.1,1.09
1.04,1.08,1.1,1.1,1.09
